university,school,degree,recordCount
"Singapore Management University","School of Law (4-year programme) *","Law (4-years programme) #","1"
"Nanyang Technological University","College of Engineering","Information Engineering And Media and Economics **","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Linguistics & Multilingual Studies","1"
"Nanyang Technological University","National Institute of Education (NIE)","Arts (With Education)","1"
"Singapore Management University","School of Information Systems (4-years programme) *","Information Systems Management","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering ^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Computational Biology)**","1"
"Singapore Management University","School of Law (4-years programme) *","Law Cum Laude and above #","1"
"Nanyang Technological University","College of Science","Biomedical Sciences and Chinese
Medicine#^","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science & Game Design **","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Naval Architecture^","1"
"Nanyang Technological University","College of Engineering","Chemical & Biomolecular Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Psychology","1"
"Nanyang Technological University","College of Science","Mathematics and Mathematical Sciences","1"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Human Resource
Management","1"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture) ** #","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography) **","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Arts in Game Design^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy)(Hons) #","1"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Early Childhood Education ^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Biomedical
Engineering)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin","Bachelor of Science with Honours in
Physiotherapy","1"
"Singapore Management University","School of Economics (4-year programme) *","Cum Laude and above","1"
"Singapore Management University","School of Accountancy (4-years programme) *","Accountancy Cum Laude and above","1"
"Singapore Management University","School of Business (4-year programme) *","Business Management (4-year programme)","1"
"Singapore Institute of Technology","SIT / SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Science (Project and Facilities Management)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Arts (Architecture) #","1"
"Singapore Institute of Technology","SIT- DigiPen Institute of Technology","Bachelor of Engineering with Honours in Systems Engineering
(ElectroMechanical Systems)","1"
"Nanyang Technological University","College of Science","Mathematics and Economics","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Materials Engineering)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science in Real-Time Interactive
Simulation","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering
(Environmental Engineering)","1"
"Nanyang Technological University","College of Engineering","Chemical & Biomolecular Engineering and Economics **","1"
"Nanyang Technological University","National Institute of Education (NIE)","Science (and Education)^","1"
"Singapore Management University","School of Accountancy (4-years programme) *","Accountancy","1"
"Nanyang Technological University","College of Engineering","Electrical & Electronic Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Computer Engineering)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in History","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Electrical Engineering)","1"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture) # **","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Arts in Game Design","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (4-year programme)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography) ^","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Inter-Disciplinary Double Major8","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Communications and Media) **","1"
"Singapore Institute of Technology","Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Diagnostic Radiography","1"
"Singapore Management University","School of Social Sciences (4-years programme) *","Social Sciences","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Information
Systems)","1"
"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Electrical Engineering & Information Technology **","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmaceutical Science) (Hons) ^","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Computer
Science)","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","1"
"Singapore Management University","School of Economics (4-year programme) *","Economics (4-year programme)","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Singapore Management University","School of Law (4-year programme) *","Cum Laude and above#","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Mechanical Engineering)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Linguistics And Multilingual Studies","1"
"Nanyang Technological University","Lee Kong Chian School of Medicine","Medicine#**","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Materials
Science and Engineering)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Materials Science and Engineering)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Economics","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Civil Engineering)","1"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy (4-year programme)","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Naval Architecture **","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin","Bachelor of Science (Physiotherapy)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Landscape Architecture^","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Information
Security)","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy)#**","1"
"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine and Bachelor Of Surgery #","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Sustainable Infrastructure
Engineering (Land)","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Chemical Engineering","1"
"National University of Singapore","Multidisciplinary Programmes","Bachelor of Environmental Studies","1"
"Nanyang Technological University","Sports Science and Management","Sport Science and Management","1"
"Nanyang Technological University","National Institute of Education (NIE)","Arts (and Education)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Fine Arts in Digital Arts & Animation ^","1"
"Nanyang Technological University","College of Science","Environmental Earth Systems Science","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Chemical Engineering","1"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering","1"
"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Mathematics & Economics","1"
"National University of Singapore","Faculty of Science","Bachelor of Science ^","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Electrical Power Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Aerospace Engineering)","1"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Marine Engineering ^","1"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Supply Chain Management ^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmaceutical
Science) (Hons)","1"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management (4-years programme)","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Sustainable Infrastructure
Engineering (Building Services)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Philosophy **","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science (Air Transport Management)","1"
"Singapore Management University","School of Law (4-year programme) *","Law (4-years programme) Cum Laude and above #","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin","Bachelor in Science (Diagnostic Radiography)","1"
"Singapore Institute of Technology","Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin","Bachelor in Science (Diagnostic Radiography)","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Computational
Biology)**","1"
"Nanyang Technological University","National Institute of Education (NIE)","Bachelor of Science (Hons) (Education)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Industrial
and Systems Engineering)","1"
"National University of Singapore","YLL School of Medicine","Bachelor of Medicine and Bachelor of Surgery # **","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Electrical & Electronic Engineering)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Engineering
Science)","1"
"Nanyang Technological University","Sports Science and Management","Bachelor of Science (Hons) (Sport Science & Management)","1"
"Nanyang Technological University","College of Sciences","Biomedical Sciences & Chinese Medicine #","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Electrical Power Engineering ^","1"
"Nanyang Technological University","College of Engineering","Bachelor of Communication Studies (Hons)","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Public Policy And Global Affairs","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Offshore Engineering","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Engineering Science) ^","1"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management (4-years programme) Cum Laude and above","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Mechanical Design and
Manufacturing Engineering","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (4-years programme) Cum Laude and above","1"
"Singapore Institute of Technology","SIT-Massey University","Bachelor of Food Technology with Honours","1"
"Singapore Institute of Technology","Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Chinese","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Occupational Therapy","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours
in Marine Engineering","1"
"Singapore Institute of Technology","SIT / SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Occupational Therapy)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Information Engineering & Media)","1"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy (4-year programme) Cum Laude and above","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Occupational Therapy)","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Interdisciplinary Double Major","1"
"Nanyang Technological University","College of Sciences","Mathematics & Economics **","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer
Science and Game Design","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Data Science
and Analytics)","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Data Science and Analytics) ^","1"
"Singapore Management University","School of Computing & Information Systems (4-year programme) � Information Systems *","Information Systems","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Bachelor of Accountancy (Hons)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Sociology","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (4-years programme)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Chemical Engineering)","1"
"Nanyang Technological University","College of Engineering","Data Science and Artificial Intelligence","1"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Business
Analytics","1"
"Singapore University of Social Sciences","School of Law","Bachelor of Law#**","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Environmental Engineering)","1"
"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Chemistry & Biological Chemistry","1"
"Nanyang Technological University","National Institute of Education (NIE)","Bachelor of Arts (Hons) (Education)","1"
"Singapore University of Social Sciences","School of Law","Bachelor of Law **","1"
"Singapore Management University","School of Law (4-years programme) *","Law #","1"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management (4-year programme) Cum Laude and above","1"
"National University of Singapore","NUS Business School","Bachelor of Business Administration ^","1"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Biomedical Engineering) ^^","1"
"Nanyang Technological University","College of Science","Biological Sciences and Psychology ^","1"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Social Work**","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Singapore Management University","School of Computing & Information Systems (4-year programme) � Information Systems *","Cum Laude and above","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Marine Engineering ^","1"
"Singapore Institute of Technology","Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin","Bachelor in Science (Physiotherapy)","1"
"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Physics/Applied Physics","1"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Supply Chain
Management","1"
"Singapore Management University","School of Information Systems (4-years programme) *","Information Systems Management Cum Laude and above","1"
"Singapore Management University","School of Economics (4-years programme) *","Economics Cum Laude and above","1"
"Nanyang Technological University","College of Sciences","Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Singapore Management University","School of Economics (4-year programme) *","Economics (4-years programme)","1"
"National University of Singapore","YST Conservatory Of Music","Bachelor of Music","1"
"Nanyang Technological University","College of Engineering","Computer Engineering and Economics **","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Mechanical Engineering)","1"
"Singapore Institute of Technology","Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin","Bachelor in Science (Occupational Therapy)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin","Bachelor in Science (Physiotherapy)","1"
"Singapore Institute of Technology","SIT / SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Radiation Therapy) ^","1"
"Singapore Management University","School of Accountancy (4-year programme) *","Cum Laude and above","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Digital Communications and
Integrated Media","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science & Game Design ^","1"
"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Biological Sciences","1"
"Singapore Institute of Technology","SIT / SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Physiotherapy)","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Cum Laude and above","1"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Marine Engineering","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Industrial and Systems Engineering)","1"
"Nanyang Technological University","College of Engineering","Civil Engineering and Economics **","1"
"Singapore Management University","School of Business (4-year programme) *","Cum Laude and above","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Air Transport Management","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Pharmaceutical
Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Science (Hons) (Maritime Studies)","1"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems Management (4-year programme)","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with
Honours in Telematics (Intelligent
Transportation Systems Engineering)","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Business and Computer
Engineering/Computing","1"
"Nanyang Technological University","College of Science","Mathematical Sciences","1"
"Singapore Institute of Technology","Culinary Institute of America","Bachelor of Business Administration in
Food Business Management","1"
"Singapore Management University","School of Business (4-year programme) *","Business Management (4-year programme) Cum Laude and above","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Computer Science)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Environmental Engineering)","1"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Bioengineering)","1"
"National University of Singapore","Multidisciplinary Programmes","Bachelor of Engineering (Computer Engineering)","1"
"Nanyang Technological University","College of Sciences","Biomedical Science **","1"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Finance ^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Mechanical
Engineering)","1"
"Singapore University of Social Sciences","School of Humanities and Behavioural Sciences","Bachelor of Public Safety and Security^","1"
"Nanyang Technological University","National Institute of Education (NIE)","Science (With Education)","1"
"Nanyang Technological University","College of Science","Biological Sciences","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (4-year programme) Cum Laude and above","1"
"Singapore Institute of Technology","SIT-DigiPen Institute of Technology","Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems) ^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Civil
Engineering)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography) **","1"
"Singapore Management University","School of Law (4-year programme) *","Law (4-year programme) #","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Hons) ^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Civil Engineering)","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Dietetics and Nutrition^","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land) ^","1"
"Nanyang Technological University","College of Engineering","Chemical And Biomolecular Engineering and Economics **","1"
"Nanyang Technological University","College of Engineering","Data Science and Artificial Intelligence ^","1"
"Nanyang Technological University","College of Sciences","Biomedical Sciences (Traditional Chinese Medicine) #","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Physiotherapy)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Fine Arts in Digital Art and
Animation","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Information & Communications
Technology (Information Security)","1"
"Singapore Institute of Technology","Singapore Institute of Technology","Bachelor of Hospitality Business with Honours ^","1"
"National University of Singapore","Faculty of Law","Bachelor of Laws#","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Arts (Architecture)#**","1"
"Singapore Management University","School of Business (4-year programme) *","Business Management (4-years programme)","1"
"Nanyang Technological University","College of Sciences","Bachelor of Science (Hons) in Mathematical Sciences","1"
"Singapore Institute of Technology","University of Glasgow","Bachelor of Engineering with Honours in Aerospace Systems ^","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering) **","1"
"Nanyang Technological University","Lee Kong Chian School of Medicine","Medicine ##","1"
"Singapore Management University","School of Business (4-years programme) *","Business Management Cum Laude and above","1"
"Singapore Management University","School of Business (4-years programme) *","Business Management","1"
"National University of Singapore","YLL School of Medicine","Bachelor of Medicine and Bachelor of Surgery (MBBS) #","1"
"Singapore Management University","School of Business (4-year programme) *","Business Management (4-years programme) Cum Laude and above","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Singapore Management University","School of Economics (4-year programme) *","Economics (4-years programme) Cum Laude and above","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Public Policy And Global Affairs","1"
"National University of Singapore","Faculty Of Engineering","Bachelor of Engineering (Computer Engineering)","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics **","1"
"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine And Bachelor Of Surgery #","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Radiation Therapy^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Biomedical Engineering)","1"
"Singapore Institute of Technology","Singapore Institute of Technology","Bachelor of Accountancy with Honours","1"
"Nanyang Technological University","College of Engineering","Chemical and Biomolecular Engineering and Economics **","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Bioengineering)","1"
"National University of Singapore","NUS Business School","Bachelor of Business Administration
(Accountancy) (Hons)","1"
"Singapore Management University","School of Social Sciences (4-years programme) *","Social Sciences Cum Laude and above","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) ^","1"
"Singapore Management University","School of Law (4-year programme) *","Law (4-year programme) Cum Laude and above #","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in English","1"
"Singapore Management University","School of Computing & Information Systems (4-year programme) � Computer Science *","Cum Laude and above","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Bachelor of Business (Hons)","1"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy (4-years programme) Cum Laude and above","1"
"Singapore Institute of Technology","SIT-Newcastle University","Bachelor of Engineering with Honours in Offshore Engineering **","1"
"Singapore Institute of Technology","Newcastle University","Bachelor of Science with Honours in Food and Human Nutrition","1"